query_id,query_text,query_type,system,top1_image_id,top1_relevance_0_2,top5_contains_relevant_yes_no,top10_contains_relevant_yes_no,best_candidate_rank,reviewer_type,reviewer_notes,final_manual_decision
q1_1,handover failure call flow between UE and eNodeB,q1,final,image_0.png,,,,,LLM/Manual,,
q1_1,handover failure call flow between UE and eNodeB,q1,BM25,image_0.png,,,,,LLM/Manual,,
q1_1,handover failure call flow between UE and eNodeB,q1,BGE,image_0.png,,,,,LLM/Manual,,
q1_2,RRC connection establishment procedure ladder diagram,q1,final,image_1.jpeg,,,,,LLM/Manual,,
q1_2,RRC connection establishment procedure ladder diagram,q1,BM25,image_1.jpeg,,,,,LLM/Manual,,
q1_2,RRC connection establishment procedure ladder diagram,q1,BGE,image_1.jpeg,,,,,LLM/Manual,,
q1_3,NAS authentication and key agreement,q1,final,image_2.png,,,,,LLM/Manual,,
q1_3,NAS authentication and key agreement,q1,BM25,image_2.png,,,,,LLM/Manual,,
q1_3,NAS authentication and key agreement,q1,BGE,image_2.png,,,,,LLM/Manual,,
q1_4,5G system architecture block diagram,q1,final,image_3.jpeg,,,,,LLM/Manual,,
q1_4,5G system architecture block diagram,q1,BM25,image_3.jpeg,,,,,LLM/Manual,,
q1_4,5G system architecture block diagram,q1,BGE,image_3.jpeg,,,,,LLM/Manual,,
q1_5,dedicated bearer activation call flow,q1,final,image_4.jpeg,,,,,LLM/Manual,,
q1_5,dedicated bearer activation call flow,q1,BM25,image_4.jpeg,,,,,LLM/Manual,,
q1_5,dedicated bearer activation call flow,q1,BGE,image_4.jpeg,,,,,LLM/Manual,,
q1_6,mobility management entity state machine,q1,final,image_5.jpeg,,,,,LLM/Manual,,
q1_6,mobility management entity state machine,q1,BM25,image_5.jpeg,,,,,LLM/Manual,,
q1_6,mobility management entity state machine,q1,BGE,image_5.jpeg,,,,,LLM/Manual,,
q1_7,UE context release request message flow,q1,final,image_6.jpeg,,,,,LLM/Manual,,
q1_7,UE context release request message flow,q1,BM25,image_6.jpeg,,,,,LLM/Manual,,
q1_7,UE context release request message flow,q1,BGE,image_6.jpeg,,,,,LLM/Manual,,
q1_8,gNB CU DU split architecture,q1,final,image_7.jpeg,,,,,LLM/Manual,,
q1_8,gNB CU DU split architecture,q1,BM25,image_7.jpeg,,,,,LLM/Manual,,
q1_8,gNB CU DU split architecture,q1,BGE,image_7.jpeg,,,,,LLM/Manual,,
q1_9,AMF SMF UPF session management,q1,final,image_8.jpeg,,,,,LLM/Manual,,
q1_9,AMF SMF UPF session management,q1,BM25,image_8.jpeg,,,,,LLM/Manual,,
q1_9,AMF SMF UPF session management,q1,BGE,image_8.jpeg,,,,,LLM/Manual,,
q1_10,paging procedure in idle mode,q1,final,image_9.png,,,,,LLM/Manual,,
q1_10,paging procedure in idle mode,q1,BM25,image_9.png,,,,,LLM/Manual,,
q1_10,paging procedure in idle mode,q1,BGE,image_9.png,,,,,LLM/Manual,,
q1_11,radio link failure recovery,q1,final,image_10.jpeg,,,,,LLM/Manual,,
q1_11,radio link failure recovery,q1,BM25,image_10.jpeg,,,,,LLM/Manual,,
q1_11,radio link failure recovery,q1,BGE,image_10.jpeg,,,,,LLM/Manual,,
q1_12,LTE protocol stack user plane,q1,final,image_11.jpeg,,,,,LLM/Manual,,
q1_12,LTE protocol stack user plane,q1,BM25,image_11.jpeg,,,,,LLM/Manual,,
q1_12,LTE protocol stack user plane,q1,BGE,image_11.jpeg,,,,,LLM/Manual,,
q1_13,S1 release procedure ladder diagram,q1,final,image_12.png,,,,,LLM/Manual,,
q1_13,S1 release procedure ladder diagram,q1,BM25,image_12.png,,,,,LLM/Manual,,
q1_13,S1 release procedure ladder diagram,q1,BGE,image_12.png,,,,,LLM/Manual,,
q1_14,random access procedure msg1 to msg4,q1,final,image_13.jpeg,,,,,LLM/Manual,,
q1_14,random access procedure msg1 to msg4,q1,BM25,image_13.jpeg,,,,,LLM/Manual,,
q1_14,random access procedure msg1 to msg4,q1,BGE,image_13.jpeg,,,,,LLM/Manual,,
q1_15,Xn handover between NG-RAN nodes,q1,final,image_14.jpeg,,,,,LLM/Manual,,
q1_15,Xn handover between NG-RAN nodes,q1,BM25,image_14.jpeg,,,,,LLM/Manual,,
q1_15,Xn handover between NG-RAN nodes,q1,BGE,image_15.jpeg,,,,,LLM/Manual,,
q2_1,how does a UE recover when the radio link fails,q2,final,None,,,,,LLM/Manual,,
q2_1,how does a UE recover when the radio link fails,q2,BM25,image_0.png,,,,,LLM/Manual,,
q2_1,how does a UE recover when the radio link fails,q2,BGE,image_0.png,,,,,LLM/Manual,,
q2_2,what happens when handover from eNB to gNB fails,q2,final,None,,,,,LLM/Manual,,
q2_2,what happens when handover from eNB to gNB fails,q2,BM25,image_1.jpeg,,,,,LLM/Manual,,
q2_2,what happens when handover from eNB to gNB fails,q2,BGE,image_1.jpeg,,,,,LLM/Manual,,
q2_3,show me the message sequence for setting up an RRC connection,q2,final,None,,,,,LLM/Manual,,
q2_3,show me the message sequence for setting up an RRC connection,q2,BM25,image_2.png,,,,,LLM/Manual,,
q2_3,show me the message sequence for setting up an RRC connection,q2,BGE,image_2.png,,,,,LLM/Manual,,
q2_4,how is mutual authentication done between network and UE,q2,final,None,,,,,LLM/Manual,,
q2_4,how is mutual authentication done between network and UE,q2,BM25,image_3.jpeg,,,,,LLM/Manual,,
q2_4,how is mutual authentication done between network and UE,q2,BGE,image_3.jpeg,,,,,LLM/Manual,,
q2_5,what are the components of the 5G core control plane,q2,final,None,,,,,LLM/Manual,,
q2_5,what are the components of the 5G core control plane,q2,BM25,image_4.jpeg,,,,,LLM/Manual,,
q2_5,what are the components of the 5G core control plane,q2,BGE,image_4.jpeg,,,,,LLM/Manual,,
q2_6,explain the steps to activate a dedicated bearer,q2,final,None,,,,,LLM/Manual,,
q2_6,explain the steps to activate a dedicated bearer,q2,BM25,image_5.jpeg,,,,,LLM/Manual,,
q2_6,explain the steps to activate a dedicated bearer,q2,BGE,image_5.jpeg,,,,,LLM/Manual,,
q2_7,what are the different MME states and transitions,q2,final,None,,,,,LLM/Manual,,
q2_7,what are the different MME states and transitions,q2,BM25,image_6.jpeg,,,,,LLM/Manual,,
q2_7,what are the different MME states and transitions,q2,BGE,image_6.jpeg,,,,,LLM/Manual,,
q2_8,how does the eNB ask the MME to release UE context,q2,final,None,,,,,LLM/Manual,,
q2_8,how does the eNB ask the MME to release UE context,q2,BM25,image_7.jpeg,,,,,LLM/Manual,,
q2_8,how does the eNB ask the MME to release UE context,q2,BGE,image_7.jpeg,,,,,LLM/Manual,,
q2_9,what is the split between central and distributed units in gNB,q2,final,None,,,,,LLM/Manual,,
q2_9,what is the split between central and distributed units in gNB,q2,BM25,image_8.jpeg,,,,,LLM/Manual,,
q2_9,what is the split between central and distributed units in gNB,q2,BGE,image_8.jpeg,,,,,LLM/Manual,,
q2_10,how do AMF and SMF interact with UPF for PDU sessions,q2,final,None,,,,,LLM/Manual,,
q2_10,how do AMF and SMF interact with UPF for PDU sessions,q2,BM25,image_9.png,,,,,LLM/Manual,,
q2_10,how do AMF and SMF interact with UPF for PDU sessions,q2,BGE,image_9.png,,,,,LLM/Manual,,
q2_11,how does the network wake up a UE in idle mode,q2,final,None,,,,,LLM/Manual,,
q2_11,how does the network wake up a UE in idle mode,q2,BM25,image_10.jpeg,,,,,LLM/Manual,,
q2_11,how does the network wake up a UE in idle mode,q2,BGE,image_10.jpeg,,,,,LLM/Manual,,
q2_12,what layers make up the LTE user plane stack,q2,final,None,,,,,LLM/Manual,,
q2_12,what layers make up the LTE user plane stack,q2,BM25,image_11.jpeg,,,,,LLM/Manual,,
q2_12,what layers make up the LTE user plane stack,q2,BGE,image_11.jpeg,,,,,LLM/Manual,,
q2_13,how is the S1 connection torn down,q2,final,None,,,,,LLM/Manual,,
q2_13,how is the S1 connection torn down,q2,BM25,image_12.png,,,,,LLM/Manual,,
q2_13,how is the S1 connection torn down,q2,BGE,image_12.png,,,,,LLM/Manual,,
q2_14,what are the four messages in the RACH process,q2,final,None,,,,,LLM/Manual,,
q2_14,what are the four messages in the RACH process,q2,BM25,image_13.jpeg,,,,,LLM/Manual,,
q2_14,what are the four messages in the RACH process,q2,BGE,image_13.jpeg,,,,,LLM/Manual,,
q2_15,how does a UE hand over between two 5G base stations,q2,final,None,,,,,LLM/Manual,,
q2_15,how does a UE hand over between two 5G base stations,q2,BM25,image_14.jpeg,,,,,LLM/Manual,,
q2_15,how does a UE hand over between two 5G base stations,q2,BGE,image_15.jpeg,,,,,LLM/Manual,,
q2_16,what happens if the target cell rejects the handover,q2,final,None,,,,,LLM/Manual,,
q2_16,what happens if the target cell rejects the handover,q2,BM25,image_14.jpeg,,,,,LLM/Manual,,
q2_16,what happens if the target cell rejects the handover,q2,BGE,image_15.jpeg,,,,,LLM/Manual,,
q2_17,show the interaction between UE and EPC during attach,q2,final,None,,,,,LLM/Manual,,
q2_17,show the interaction between UE and EPC during attach,q2,BM25,image_16.jpeg,,,,,LLM/Manual,,
q2_17,show the interaction between UE and EPC during attach,q2,BGE,image_16.jpeg,,,,,LLM/Manual,,
q2_18,how is QOS managed during dedicated bearer setup,q2,final,None,,,,,LLM/Manual,,
q2_18,how is QOS managed during dedicated bearer setup,q2,BM25,image_17.png,,,,,LLM/Manual,,
q2_18,how is QOS managed during dedicated bearer setup,q2,BGE,image_17.png,,,,,LLM/Manual,,
q2_19,what is the functional split in O-RAN architecture,q2,final,None,,,,,LLM/Manual,,
q2_19,what is the functional split in O-RAN architecture,q2,BM25,image_18.png,,,,,LLM/Manual,,
q2_19,what is the functional split in O-RAN architecture,q2,BGE,image_18.png,,,,,LLM/Manual,,
q2_20,how are tracking area updates handled in 5G,q2,final,None,,,,,LLM/Manual,,
q2_20,how are tracking area updates handled in 5G,q2,BM25,image_18.png,,,,,LLM/Manual,,
q2_20,how are tracking area updates handled in 5G,q2,BGE,image_18.png,,,,,LLM/Manual,,
q3_1,"When the UE experiences deteriorating signal conditions from the serving eNodeB, it sends a measurement report indicating that a neighbor cell is stronger. The serving eNodeB makes a handover decision and attempts to prepare the target eNodeB. However, if the target eNodeB cannot admit the UE due to lack of resources, it sends a Handover Preparation Failure message back to the source eNodeB.",q3,final,None,,,,,LLM/Manual,,
q3_1,"When the UE experiences deteriorating signal conditions from the serving eNodeB, it sends a measurement report indicating that a neighbor cell is stronger. The serving eNodeB makes a handover decision and attempts to prepare the target eNodeB. However, if the target eNodeB cannot admit the UE due to lack of resources, it sends a Handover Preparation Failure message back to the source eNodeB.",q3,BM25,image_0.png,,,,,LLM/Manual,,
q3_1,"When the UE experiences deteriorating signal conditions from the serving eNodeB, it sends a measurement report indicating that a neighbor cell is stronger. The serving eNodeB makes a handover decision and attempts to prepare the target eNodeB. However, if the target eNodeB cannot admit the UE due to lack of resources, it sends a Handover Preparation Failure message back to the source eNodeB.",q3,BGE,image_0.png,,,,,LLM/Manual,,
q3_2,"During the initial access, the UE needs to transition from RRC_IDLE to RRC_CONNECTED. It starts by sending an RRC Connection Request. The network responds with an RRC Connection Setup message, establishing the SRB1. Finally, the UE confirms the successful establishment by sending the RRC Connection Setup Complete message.",q3,final,None,,,,,LLM/Manual,,
q3_2,"During the initial access, the UE needs to transition from RRC_IDLE to RRC_CONNECTED. It starts by sending an RRC Connection Request. The network responds with an RRC Connection Setup message, establishing the SRB1. Finally, the UE confirms the successful establishment by sending the RRC Connection Setup Complete message.",q3,BM25,image_1.jpeg,,,,,LLM/Manual,,
q3_2,"During the initial access, the UE needs to transition from RRC_IDLE to RRC_CONNECTED. It starts by sending an RRC Connection Request. The network responds with an RRC Connection Setup message, establishing the SRB1. Finally, the UE confirms the successful establishment by sending the RRC Connection Setup Complete message.",q3,BGE,image_1.jpeg,,,,,LLM/Manual,,
q3_3,"The 5G system architecture consists of several key network functions. The AMF handles connection and mobility management, while the SMF is responsible for session management. The UPF routes and forwards user plane data. These functions interact via service-based interfaces to provide end-to-end connectivity for the UE.",q3,final,None,,,,,LLM/Manual,,
q3_3,"The 5G system architecture consists of several key network functions. The AMF handles connection and mobility management, while the SMF is responsible for session management. The UPF routes and forwards user plane data. These functions interact via service-based interfaces to provide end-to-end connectivity for the UE.",q3,BM25,image_2.png,,,,,LLM/Manual,,
q3_3,"The 5G system architecture consists of several key network functions. The AMF handles connection and mobility management, while the SMF is responsible for session management. The UPF routes and forwards user plane data. These functions interact via service-based interfaces to provide end-to-end connectivity for the UE.",q3,BGE,image_2.png,,,,,LLM/Manual,,
q3_4,"To establish a dedicated bearer for a specific QoS flow, the network initiates the process. The MME sends a Bearer Setup Request to the eNodeB, which in turn sends an RRC Connection Reconfiguration message to the UE. The UE applies the new configuration and responds with an RRC Connection Reconfiguration Complete message.",q3,final,None,,,,,LLM/Manual,,
q3_4,"To establish a dedicated bearer for a specific QoS flow, the network initiates the process. The MME sends a Bearer Setup Request to the eNodeB, which in turn sends an RRC Connection Reconfiguration message to the UE. The UE applies the new configuration and responds with an RRC Connection Reconfiguration Complete message.",q3,BM25,image_3.jpeg,,,,,LLM/Manual,,
q3_4,"To establish a dedicated bearer for a specific QoS flow, the network initiates the process. The MME sends a Bearer Setup Request to the eNodeB, which in turn sends an RRC Connection Reconfiguration message to the UE. The UE applies the new configuration and responds with an RRC Connection Reconfiguration Complete message.",q3,BGE,image_3.jpeg,,,,,LLM/Manual,,
q3_5,"In 5G NR, the gNB can be split into a Central Unit (CU) and one or more Distributed Units (DUs). The CU handles higher layer protocols like RRC and PDCP, while the DU handles lower layers like RLC, MAC, and PHY. They communicate over the F1 interface, allowing for flexible deployment scenarios.",q3,final,None,,,,,LLM/Manual,,
q3_5,"In 5G NR, the gNB can be split into a Central Unit (CU) and one or more Distributed Units (DUs). The CU handles higher layer protocols like RRC and PDCP, while the DU handles lower layers like RLC, MAC, and PHY. They communicate over the F1 interface, allowing for flexible deployment scenarios.",q3,BM25,image_4.jpeg,,,,,LLM/Manual,,
q3_5,"In 5G NR, the gNB can be split into a Central Unit (CU) and one or more Distributed Units (DUs). The CU handles higher layer protocols like RRC and PDCP, while the DU handles lower layers like RLC, MAC, and PHY. They communicate over the F1 interface, allowing for flexible deployment scenarios.",q3,BGE,image_4.jpeg,,,,,LLM/Manual,,
q3_6,"When the network needs to reach a UE in CM-IDLE state, the AMF initiates a paging procedure. It sends a Paging message to all gNBs within the UE's tracking area. The gNBs broadcast the Paging message over the radio interface. Upon receiving the page, the UE initiates the RRC connection establishment procedure to transition to CM-CONNECTED state.",q3,final,None,,,,,LLM/Manual,,
q3_6,"When the network needs to reach a UE in CM-IDLE state, the AMF initiates a paging procedure. It sends a Paging message to all gNBs within the UE's tracking area. The gNBs broadcast the Paging message over the radio interface. Upon receiving the page, the UE initiates the RRC connection establishment procedure to transition to CM-CONNECTED state.",q3,BM25,image_5.jpeg,,,,,LLM/Manual,,
q3_6,"When the network needs to reach a UE in CM-IDLE state, the AMF initiates a paging procedure. It sends a Paging message to all gNBs within the UE's tracking area. The gNBs broadcast the Paging message over the radio interface. Upon receiving the page, the UE initiates the RRC connection establishment procedure to transition to CM-CONNECTED state.",q3,BGE,image_5.jpeg,,,,,LLM/Manual,,
q3_7,"If the UE detects a radio link failure, it starts a timer and attempts to re-establish the connection. It selects a suitable cell and sends an RRC Reestablishment Request. If the network has the UE context, it responds with an RRC Reestablishment message. Otherwise, the re-establishment fails, and the UE goes to RRC_IDLE.",q3,final,None,,,,,LLM/Manual,,
q3_7,"If the UE detects a radio link failure, it starts a timer and attempts to re-establish the connection. It selects a suitable cell and sends an RRC Reestablishment Request. If the network has the UE context, it responds with an RRC Reestablishment message. Otherwise, the re-establishment fails, and the UE goes to RRC_IDLE.",q3,BM25,image_6.jpeg,,,,,LLM/Manual,,
q3_7,"If the UE detects a radio link failure, it starts a timer and attempts to re-establish the connection. It selects a suitable cell and sends an RRC Reestablishment Request. If the network has the UE context, it responds with an RRC Reestablishment message. Otherwise, the re-establishment fails, and the UE goes to RRC_IDLE.",q3,BGE,image_6.jpeg,,,,,LLM/Manual,,
q3_8,The LTE user plane protocol stack consists of several layers between the UE and the eNodeB. The Packet Data Convergence Protocol (PDCP) handles IP header compression and ciphering. The Radio Link Control (RLC) handles segmentation and reassembly. The Medium Access Control (MAC) handles multiplexing and HARQ. The Physical layer (PHY) handles modulation and coding.,q3,final,None,,,,,LLM/Manual,,
