row_id,caption_available,raw_image_path,resolved_image_path,image_exists,file_size_bytes,duplicate_group_id,usable_for_training,is_duplicate_member,duplicate_group_size,issue
0,True,/data/all_images/image_0.png,/DATA5/prabhakar/telecom/extracted_images/images/image_0.png,True,25440,singleton_0,True,False,1,
1,True,/data/all_images/image_1.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_1.jpeg,True,30505,singleton_1,True,False,1,
2,True,/data/all_images/image_2.png,/DATA5/prabhakar/telecom/extracted_images/images/image_2.png,True,30477,singleton_2,True,False,1,
3,True,/data/all_images/image_3.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_3.jpeg,True,45393,singleton_3,True,False,1,
4,True,/data/all_images/image_4.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_4.jpeg,True,42179,singleton_4,True,False,1,
5,True,/data/all_images/image_5.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_5.jpeg,True,37644,singleton_5,True,False,1,
6,True,/data/all_images/image_6.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_6.jpeg,True,69859,singleton_6,True,False,1,
7,True,/data/all_images/image_7.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_7.jpeg,True,22537,singleton_7,True,False,1,
8,True,/data/all_images/image_8.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_8.jpeg,True,73564,singleton_8,True,False,1,
9,True,/data/all_images/image_9.png,/DATA5/prabhakar/telecom/extracted_images/images/image_9.png,True,34956,singleton_9,True,False,1,
10,True,/data/all_images/image_10.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_10.jpeg,True,72130,singleton_10,True,False,1,
11,True,/data/all_images/image_11.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_11.jpeg,True,71001,singleton_11,True,False,1,
12,True,/data/all_images/image_12.png,/DATA5/prabhakar/telecom/extracted_images/images/image_12.png,True,54799,singleton_12,True,False,1,
13,True,/data/all_images/image_13.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_13.jpeg,True,45451,singleton_13,True,False,1,
14,True,/data/all_images/image_14.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_14.jpeg,True,53818,singleton_14,True,False,1,
15,True,/data/all_images/image_15.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_15.jpeg,True,49137,singleton_15,True,False,1,
16,True,/data/all_images/image_16.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_16.jpeg,True,56288,singleton_16,True,False,1,
17,True,/data/all_images/image_17.png,/DATA5/prabhakar/telecom/extracted_images/images/image_17.png,True,31013,singleton_17,True,False,1,
18,True,/data/all_images/image_18.png,/DATA5/prabhakar/telecom/extracted_images/images/image_18.png,True,41761,singleton_18,True,False,1,
19,True,/data/all_images/image_19.png,/DATA5/prabhakar/telecom/extracted_images/images/image_19.png,True,46914,singleton_19,True,False,1,
20,True,/data/all_images/image_20.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_20.jpeg,True,21210,singleton_20,True,False,1,
21,True,/data/all_images/image_21.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_21.jpeg,True,22167,singleton_21,True,False,1,
22,True,/data/all_images/image_22.png,/DATA5/prabhakar/telecom/extracted_images/images/image_22.png,True,20529,singleton_22,True,False,1,
23,True,/data/all_images/image_23.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_23.jpeg,True,24546,singleton_23,True,False,1,
24,True,/data/all_images/image_24.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_24.jpeg,True,22570,singleton_24,True,False,1,
25,True,/data/all_images/image_25.png,/DATA5/prabhakar/telecom/extracted_images/images/image_25.png,True,27263,singleton_25,True,False,1,
26,True,/data/all_images/image_26.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_26.jpeg,True,21045,singleton_26,True,False,1,
27,True,/data/all_images/image_27.png,/DATA5/prabhakar/telecom/extracted_images/images/image_27.png,True,53837,singleton_27,True,False,1,
28,True,/data/all_images/image_28.png,/DATA5/prabhakar/telecom/extracted_images/images/image_28.png,True,48779,singleton_28,True,False,1,
29,True,/data/all_images/image_29.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_29.jpeg,True,62128,singleton_29,True,False,1,
30,True,/data/all_images/image_30.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_30.jpeg,True,23741,singleton_30,True,False,1,
31,True,/data/all_images/image_31.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_31.jpeg,True,24327,singleton_31,True,False,1,
32,True,/data/all_images/image_32.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_32.jpeg,True,29353,singleton_32,True,False,1,
33,True,/data/all_images/image_33.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_33.jpeg,True,31083,singleton_33,True,False,1,
34,True,/data/all_images/image_34.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_34.jpeg,True,36125,singleton_34,True,False,1,
35,True,/data/all_images/image_35.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_35.jpeg,True,33171,singleton_35,True,False,1,
36,True,/data/all_images/image_36.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_36.jpeg,True,153778,singleton_36,True,False,1,
37,True,/data/all_images/image_37.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_37.jpeg,True,145770,singleton_37,True,False,1,
38,True,/data/all_images/image_38.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_38.jpeg,True,151207,singleton_38,True,False,1,
39,True,/data/all_images/image_39.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_39.jpeg,True,146487,singleton_39,True,False,1,
40,True,/data/all_images/image_40.png,/DATA5/prabhakar/telecom/extracted_images/images/image_40.png,True,34333,singleton_40,True,False,1,
41,True,/data/all_images/image_41.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_41.jpeg,True,34206,singleton_41,True,False,1,
42,True,/data/all_images/image_42.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_42.jpeg,True,25308,singleton_42,True,False,1,
43,True,/data/all_images/image_43.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_43.jpeg,True,33548,singleton_43,True,False,1,
44,True,/data/all_images/image_44.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_44.jpeg,True,23252,singleton_44,True,False,1,
45,True,/data/all_images/image_45.png,/DATA5/prabhakar/telecom/extracted_images/images/image_45.png,True,21113,singleton_45,True,False,1,
46,True,/data/all_images/image_46.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_46.jpeg,True,83701,singleton_46,True,False,1,
47,True,/data/all_images/image_47.png,/DATA5/prabhakar/telecom/extracted_images/images/image_47.png,True,55112,singleton_47,True,False,1,
48,True,/data/all_images/image_48.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_48.jpeg,True,303594,singleton_48,True,False,1,
49,True,/data/all_images/image_49.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_49.jpeg,True,55685,singleton_49,True,False,1,
50,True,/data/all_images/image_50.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_50.jpeg,True,27418,singleton_50,True,False,1,
51,True,/data/all_images/image_51.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_51.jpeg,True,75742,singleton_51,True,False,1,
52,True,/data/all_images/image_52.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_52.jpeg,True,74887,singleton_52,True,False,1,
53,True,/data/all_images/image_53.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_53.jpeg,True,94227,singleton_53,True,False,1,
54,True,/data/all_images/image_54.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_54.jpeg,True,71838,singleton_54,True,False,1,
55,True,/data/all_images/image_55.png,/DATA5/prabhakar/telecom/extracted_images/images/image_55.png,True,39502,singleton_55,True,False,1,
56,True,/data/all_images/image_56.jpeg,/DATA5/prabhakar/telecom/extracted_images/images/image_56.jpeg,True,58389,singleton_56,True,False,1,
