query_set,query_id,query_text,ground_truth_row,ground_truth_caption,source,subclause,category,bm25_rank,bge_rank,m7_rank,clip_rank,ocr_rank,colpali_rank,reranker_rank_if_available,bm25_mrr,bge_mrr,m7_mrr,clip_mrr,ocr_mrr,colpali_mrr,reason_for_selection,thesis_lesson,confidence_of_case,rank_missing_reason
Q1,q1_0,TNL Update: Unsuccessful operation.,0,TNL Update: Unsuccessful operation.,TS 25.469,8.9.3,A. Easy Success,1,1,1,12,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_1,1.28Mcps TDD Home NodeB Timing according to Macro Node B’s DwPCH,1,1.28Mcps TDD Home NodeB Timing according to Macro Node B’s DwPCH,TR 25.968,7.5.1,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_1,1.28Mcps TDD Home NodeB Timing according to Macro Node B’s DwPCH,1,1.28Mcps TDD Home NodeB Timing according to Macro Node B’s DwPCH,TR 25.968,7.5.1,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_2,UE Registration for non CSG UEs or non CSG HNBs.,2,UE Registration for non CSG UEs or non CSG HNBs.,TS 25.467,5.1.2,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_2,UE Registration for non CSG UEs or non CSG HNBs.,2,UE Registration for non CSG UEs or non CSG HNBs.,TS 25.467,5.1.2,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_3,UE Registration for CSG UEs and CSG or Hybrid HNBs.,3,UE Registration for CSG UEs and CSG or Hybrid HNBs.,TS 25.467,5.1.3,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_3,UE Registration for CSG UEs and CSG or Hybrid HNBs.,3,UE Registration for CSG UEs and CSG or Hybrid HNBs.,TS 25.467,5.1.3,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_4,UE Registration to open access HNBs.,4,UE Registration to open access HNBs.,TS 25.467,5.1.5,A. Easy Success,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
Q1,q1_4,UE Registration to open access HNBs.,4,UE Registration to open access HNBs.,TS 25.467,5.1.5,F. Visual Failure,1,1,1,>100,1,>100,NA,1.0,1.0,1.0,0.0,1.0,0.0,Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.,High,
Q1,q1_5,Iuh Disconnect procedure.,5,Iuh Disconnect procedure.,TS 25.467,5.5.2,A. Easy Success,1,1,1,>100,2,>100,NA,1.0,1.0,1.0,0.0,0.5,0.0,All top systems instantly match,Clean caption metadata provides strong retrieval signal.,High,
