query_id,query_text,method,top1_image_id,top1_caption,top1_relevance_0_2,top5_contains_relevant_yes_no,top10_contains_relevant_yes_no,reviewer_notes,final_manual_decision
q_ff_1,handover failure call flow,hybrid,image_3394.jpeg,UTRAN Iu mode to E-UTRAN Inter RAT HO reject,,,,,
q_ff_2,RRC connection establishment,hybrid,image_3599.jpeg,Procedure for Remote UE connection establishment,,,,,
q_ff_3,NAS authentication,hybrid,image_457.jpeg,AMF re-allocation with NAS message and 5G NAS security context re-route via RAN,,,,,
q_ff_4,5G architecture,hybrid,image_2030.jpeg,Non- roaming architecture for 5G Core Network for 5G-RG with Wireline 5G Access,,,,,
q_ff_5,bearer activation,hybrid,image_2499.jpeg,Secondary PDP context Activation or PDP Context Modification Procedure for EPS-,,,,,
q_ff_6,UE context release,hybrid,image_3553.png,Bearer context release over F1-U – gNB-CU-CP initiated,,,,,
q_ff_7,gNB CU DU split,hybrid,image_1238.jpeg,NRM fragment to support RIM,,,,,
q_ff_8,AMF SMF UPF session,hybrid,image_2856.jpeg,MBS N2 based HO towards a RAN,,,,,
q_ff_9,paging idle mode,hybrid,image_2565.png,Notification - Availability Notification after DDN Failure,,,,,
q_ff_10,random access msg1 msg4,hybrid,image_148.jpeg,Unicast message protection procedure,,,,,
q_ff_11,LTE protocol stack,hybrid,image_1106.jpeg,MB2-U Protocol stack with DTLS Security,,,,,
q_ff_12,Xn handover,hybrid,image_3448.jpeg,Xn based mobility across different Registration Areas,,,,,
q_ff_13,PDU session establishment,hybrid,image_2840.jpeg,MBS session joining via PDU Session Establishment procedure,,,,,
q_ff_14,radio link failure recovery,hybrid,image_3440.jpeg,Re-establishment procedure,,,,,
q_ff_15,EPC attach procedure,hybrid,image_1352.jpeg,RN attach procedure,,,,,
q_ff_16,S1 release procedure,hybrid,image_3372.jpeg,S1 Release Procedure,,,,,
q_ff_17,tracking area update,hybrid,image_1339.jpeg,Moving Cells and Small tracking areas leading to massive TAU signalling,,,,,
q_ff_18,O-RAN functional split,hybrid,image_1544.jpeg,"End-to-end flow of O&M-based solution for KI#6, connected mode",,,,,
q_ff_19,network triggered service request,hybrid,image_2186.jpeg,Cancellation of a Deferred 5GC-MT-LR for periodic or triggered location events by an,,,,,
q_ff_20,SGW PGW interaction,hybrid,image_3176.png,Interaction between CP and UP function during procedures with SGW change,,,,,
q_ff_21,dedicated bearer setup,hybrid,image_1383.jpeg,E-RAB Setup procedure,,,,,
q_ff_22,handover reject,hybrid,image_3397.jpeg,E-UTRAN to GERAN A/Gb Inter RAT HO reject,,,,,
q_ff_23,RRC state machine,hybrid,image_1496.jpeg,State transitions of Pre-established Session state machine,,,,,
q_ff_24,NAS key agreement,hybrid,image_305.jpeg,BEST Key Hierarchy for 5GS networks,,,,,
q_ff_25,user plane protocol stack,hybrid,image_1105.jpeg,MB2-U Protocol stack with DTLS Security,,,,,
