query_set,query_id,query_text,ground_truth_row,category,planned_systems_to_show,reason_for_inclusion,expected_thesis_lesson
Q1,q1_310,Initial access with key derivation,310,A. Easy Success,"Ground truth, BM25 top-5, BGE top-5, M7 top-5",All top systems instantly match,Clean caption metadata provides strong retrieval signal.
Q3,q3_2829,Figure 6.9.2.1-1: MBS session initiation procedure (broadcast service),2829,A. Easy Success,"Ground truth, BM25 top-5, BGE top-5, M7 top-5",All top systems instantly match,Clean caption metadata provides strong retrieval signal.
Q3,q3_2676,Figure 8.4.3-1 illustrates the procedure for unpublishing the service APIs.,2676,A. Easy Success,"Ground truth, BM25 top-5, BGE top-5, M7 top-5",All top systems instantly match,Clean caption metadata provides strong retrieval signal.
Q3,q3_3198,This clause defines interactions between the CP and UP function during the following procedures related to the modification of a PDN connection.,3198,B. M7 Helps,"Ground truth, BM25 top-5, BGE top-5, M7 top-5",M7 strictly improves rank over single baselines,Lexical and semantic signals complement each other.
Q2,q2_2622,What is the sequence of events for a MCVideo private call in manual commencement mode?,2622,B. M7 Helps,"Ground truth, BM25 top-5, BGE top-5, M7 top-5",M7 strictly improves rank over single baselines,Lexical and semantic signals complement each other.
Q2,q2_3534,What is the user plane protocol stack for L2 UE-to-Network Relay?,3534,B. M7 Helps,"Ground truth, BM25 top-5, BGE top-5, M7 top-5",M7 strictly improves rank over single baselines,Lexical and semantic signals complement each other.
Q3,q3_631,Inter-Lab/Inter-Technique (IL/IT) campaigns have been performed in CTIA MOSG LTE MIMO OTA by the Anechoic Chamber test methodology.,631,C. BM25 Beats Dense,"Ground truth, BM25 top-5, BGE top-5, M7 top-5",Lexical succeeds where semantic fails,Dense models lose critical acronym/keyword sensitivity.
Q3,q3_2132,The figure below illustrates the flows proposal above.,2132,C. BM25 Beats Dense,"Ground truth, BM25 top-5, BGE top-5, M7 top-5",Lexical succeeds where semantic fails,Dense models lose critical acronym/keyword sensitivity.
Q3,q3_1600,Figure 6.4.2.1-1: 5GC UAV Authentication and Authorization,1600,D. Dense Beats BM25,"Ground truth, BM25 top-5, BGE top-5, M7 top-5",Semantic matches paraphrases that break lexical,Embeddings bridge vocabulary mismatches.
Q3,q3_983,The procedure depicted in Figure 5.5.3.1-1 is used by a data consumer (e.g.,983,D. Dense Beats BM25,"Ground truth, BM25 top-5, BGE top-5, M7 top-5",Semantic matches paraphrases that break lexical,Embeddings bridge vocabulary mismatches.
Q1,q1_2270,DNS to resolve EAS address,2270,F. Visual Failure,"Ground truth, M7 or best text top-5, CLIP top-5, ColPali top-5",Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.
Q2,q2_618,What is the process for spatial correlation measurements in the radiated two-stage method?,618,F. Visual Failure,"Ground truth, M7 or best text top-5, CLIP top-5, ColPali top-5",Visual models fail despite easy text match,Zero-shot visual domain gap is substantial for diagrams.
Q2,q2_2905,What process does the MC service use to obtain configuration data from the UE?,2905,G. OCR Failure,"Ground truth, BM25/M7 top-5, OCR top-5, OCR extracted text snippet if available",OCR hurts clean metadata matching,Raw diagram text is often noisy.
Q2,q2_2885,What is an example of an end-to-end scenario in 3GPP architecture?,2885,G. OCR Failure,"Ground truth, BM25/M7 top-5, OCR top-5, OCR extracted text snippet if available",OCR hurts clean metadata matching,Raw diagram text is often noisy.
Q2,q2_75,What does this 3GPP diagram illustrate?,75,H. Final Failure,"Ground truth, BM25 top-5, BGE top-5, M7 top-5, CLIP/ColPali if relevant",No top text baseline solves this,Query-context mismatch or extreme ambiguity.
Q2,q2_2800,What is the network architecture diagram for a 3GPP LTE system?,2800,H. Final Failure,"Ground truth, BM25 top-5, BGE top-5, M7 top-5, CLIP/ColPali if relevant",No top text baseline solves this,Query-context mismatch or extreme ambiguity.
Q3,q3_1239,This clause depicts the set of classes (e.g.,1239,H. Final Failure,"Ground truth, BM25 top-5, BGE top-5, M7 top-5, CLIP/ColPali if relevant",No top text baseline solves this,Query-context mismatch or extreme ambiguity.
