query_id,query_text,query_type,system,rank,image_id,caption_snippet
q1_1,handover failure call flow between UE and eNodeB,q1,final,1,image_0.png,TNL Update: Unsuccessful operation.
q1_1,handover failure call flow between UE and eNodeB,q1,final,2,image_1466.jpeg,"SgNB Change, unsuccessful operation."
q1_1,handover failure call flow between UE and eNodeB,q1,final,3,image_1465.jpeg,"SgNB initiated SgNB Modification, unsuccessful operation."
q1_1,handover failure call flow between UE and eNodeB,q1,final,4,image_1463.jpeg,"MeNB initiated SgNB Modification Preparation, unsuccessful operation"
q1_1,handover failure call flow between UE and eNodeB,q1,final,5,image_925.jpeg,Service Update
q1_1,handover failure call flow between UE and eNodeB,q1,final,6,image_926.jpeg,Service Update
q1_1,handover failure call flow between UE and eNodeB,q1,final,7,image_927.jpeg,Service Update
q1_1,handover failure call flow between UE and eNodeB,q1,final,8,image_1002.png,Operation description
q1_1,handover failure call flow between UE and eNodeB,q1,final,9,image_1595.jpeg,Procedures for unsuccessful SBI-based SM MO message transfer
q1_1,handover failure call flow between UE and eNodeB,q1,final,10,image_912.png,Video Operation Points
q1_1,handover failure call flow between UE and eNodeB,q1,BM25,1,image_0.png,TNL Update: Unsuccessful operation.
q1_1,handover failure call flow between UE and eNodeB,q1,BM25,2,image_1466.jpeg,"SgNB Change, unsuccessful operation."
q1_1,handover failure call flow between UE and eNodeB,q1,BM25,3,image_1465.jpeg,"SgNB initiated SgNB Modification, unsuccessful operation."
q1_1,handover failure call flow between UE and eNodeB,q1,BM25,4,image_1463.jpeg,"MeNB initiated SgNB Modification Preparation, unsuccessful operation"
q1_1,handover failure call flow between UE and eNodeB,q1,BM25,5,image_1002.png,Operation description
q1_1,handover failure call flow between UE and eNodeB,q1,BM25,6,image_925.jpeg,Service Update
q1_1,handover failure call flow between UE and eNodeB,q1,BM25,7,image_926.jpeg,Service Update
q1_1,handover failure call flow between UE and eNodeB,q1,BM25,8,image_927.jpeg,Service Update
q1_1,handover failure call flow between UE and eNodeB,q1,BM25,9,image_912.png,Video Operation Points
q1_1,handover failure call flow between UE and eNodeB,q1,BM25,10,image_913.png,Audio Operation Points
q1_1,handover failure call flow between UE and eNodeB,q1,BGE,1,image_0.png,TNL Update: Unsuccessful operation.
q1_1,handover failure call flow between UE and eNodeB,q1,BGE,2,image_1466.jpeg,"SgNB Change, unsuccessful operation."
q1_1,handover failure call flow between UE and eNodeB,q1,BGE,3,image_1465.jpeg,"SgNB initiated SgNB Modification, unsuccessful operation."
q1_1,handover failure call flow between UE and eNodeB,q1,BGE,4,image_1463.jpeg,"MeNB initiated SgNB Modification Preparation, unsuccessful operation"
q1_1,handover failure call flow between UE and eNodeB,q1,BGE,5,image_2250.jpeg,MT-SMS Delivery Failure
q1_1,handover failure call flow between UE and eNodeB,q1,BGE,6,image_136.jpeg,HO procedure caused by false base station C
q1_1,handover failure call flow between UE and eNodeB,q1,BGE,7,image_1322.jpeg,Procedure of updating MOI(s) after a VNF is scaled (Triggered by NM)
