query_id,query_type,original_query,expanded_query,rr_orig,rr_fuse_10,delta,helped
q1_2234,q1,Mobility from 5GC to EPC,Mobility from 5GC to EPC Evolved Packet Core LTE core network MME 5G Core AMF SMF,0.16666666666666666,1.0,0.8333333333333334,True
q2_1240,q2,What is the containment and naming relationship in the 5GC NRM?,What is the containment and naming relationship in the 5GC NRM? 5G Core AMF SMF,0.2,1.0,0.8,True
q1_3240,q1,Shared PLMN operator and MC service provider based deployment of MC service -,Shared PLMN operator and MC service provider based deployment of MC service - Public Land Mobile Network mobile network operator network,0.25,1.0,0.75,True
q2_3199,q2,What is the interaction between CP and UP functions during PDN connection modification in 3GPP?,What is the interaction between CP and UP functions during PDN connection modification in 3GPP? Packet Data Network PDN connection packet data,0.25,1.0,0.75,True
q3_1421,q3,The UE test loop function provides access to isolated functions of the UE via the radio interface without introducing wherever possible new physical interfaces just for the reason of conformance testing.,The UE test loop function provides access to isolated functions of the UE via the radio interface without introducing wherever possible new physical interfaces just for the reason of conformance testing. User Equipment mobile terminal device,0.25,1.0,0.75,True
q3_2929,q3,The procedure in this sub clause may be used when two MC service servers are serving users in the same area and are configured to share MBMS bearers for that specific area.,The procedure in this sub clause may be used when two MC service servers are serving users in the same area and are configured to share MBMS bearers for that specific area. Multimedia Broadcast Multicast Service broadcast service multicast service,0.25,1.0,0.75,True
q2_2234,q2,What is the mobility process diagram from 5GC to EPC?,What is the mobility process diagram from 5GC to EPC? Evolved Packet Core LTE core network MME 5G Core AMF SMF,0.3333333333333333,1.0,0.6666666666666667,True
q1_2035,q1,Non-roaming architecture for interworking between 5GS and EPC/E-UTRAN,Non-roaming architecture for interworking between 5GS and EPC/E-UTRAN Evolved Universal Terrestrial Radio Access Network LTE radio access network eNB Evolved Packet Core LTE core network MME,0.3333333333333333,1.0,0.6666666666666667,True
q1_1712,q1,MCVideo emergency group call,MCVideo emergency group call Mission Critical Video mission critical service video service,0.3333333333333333,1.0,0.6666666666666667,True
q1_2612,q1,MCVideo emergency group call,MCVideo emergency group call Mission Critical Video mission critical service video service,0.3333333333333333,1.0,0.6666666666666667,True
