query_set,query_id,query_text,ground_truth_row,ground_truth_caption,best_available_method,best_available_rank,bm25_rank,bge_rank,m7_rank,clip_rank,ocr_rank,colpali_rank,likely_failure_category,evidence_from_ranks,evidence_from_query_text,manual_review_needed,final_thesis_explanation
Q2,q2_75,What does this 3GPP diagram illustrate?,75,Illustration of a CABG Procedure,None,NA,>100,>100,>100,>100,>100,>100,acronym ambiguity,,,yes,
Q2,q2_359,What is the diagram showing regarding handover restrictions in 3GPP?,359,Restricting handovers to RAN nodes that don't support UP IP,BGE,88,>100,88,>100,>100,15,>100,acronym ambiguity,,,yes,
Q2,q2_1991,What process does the caption describe in the context of 3GPP networking?,1991,UE/TWAN requested PDN disconnection in WLAN on PMIP S2a for Multi-connection,None,NA,>100,>100,>100,>100,>100,>100,acronym ambiguity,,,yes,
Q2,q2_2522,What process does this diagram illustrate in the context of 3GPP standards?,2522,UE-to-Network Relay discovery and selection,None,NA,>100,>100,>100,>100,>100,>100,acronym ambiguity,,,yes,
Q2,q2_2799,What is the architecture diagram for a 3GPP network?,2799,Architecture,None,NA,>100,>100,>100,>100,>100,>100,acronym ambiguity,,,yes,
Q2,q2_2800,What is the network architecture diagram for a 3GPP LTE system?,2800,Architecture,None,NA,>100,>100,>100,>100,>100,>100,acronym ambiguity,,,yes,
Q2,q2_3090,What message flow does this diagram illustrate in the 5G architecture?,3090,MSGin5G UE aggregates messages towards target Application Server,None,NA,>100,>100,>100,>100,>100,>100,query-caption/context mismatch or cross-spec confusion,,,yes,
Q2,q2_3382,What process does this diagram illustrate in the context of 3GPP standards?,3382,UE requested bearer resource modification,None,NA,>100,>100,>100,>100,>100,>100,acronym ambiguity,,,yes,
Q3,q3_146,Pre-conditions:,146,Protection Area Information Provisioning (PAIP) procedure,None,NA,>100,>100,>100,>100,>100,>100,generic caption/query,,,yes,
Q3,q3_265,Pre-conditions:,265,Security procedure for API invoker offboarding,None,NA,>100,>100,>100,>100,>100,>100,generic caption/query,,,yes,
Q3,q3_312,Following pre-conditions are assumed:,312,UE Onboarding for Remote Provisioning Procedure,BM25,15,15,>100,42,>100,15,>100,unclassified failure,,,yes,
Q3,q3_445,Figure 6.1.2.2-1 provides the message flow for the solution.,445,AMF re-allocation via the RAN ,BM25,42,42,66,52,>100,63,>100,unclassified failure,,,yes,
Q3,q3_449,Figure 6.5.2-1 shows the detailed procedure.,449,Redirecting UE to Target-AMF,BM25,57,57,>100,98,>100,96,>100,query-caption/context mismatch or cross-spec confusion,,,yes,
Q3,q3_645,The call flow is shown in Figure 5.2.6.1-1.,645,High-level call flow for content preparation before downlink streaming,M7,23,55,26,23,>100,98,>100,unclassified failure,,,yes,
