query_set,query_id,best_available_method,best_available_rank,bm25_rank,bge_rank,m7_rank,clip_rank,colpali_rank,ocr_rank,e0_rank_if_available,e1_rank_if_available,likely_failure_category,evidence_from_ranks,evidence_from_query_text,manual_review_needed,final_thesis_explanation
Q2,q2_75,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",What does this 3GPP diagram illustrate?,No,A representative case demonstrating performance gaps across modalities.
Q2,q2_359,OCR,77,-1,88,-1,-1,-1,77,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': 88, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': 77, 'E0': -1, 'E1': -1}",What is the diagram showing regarding handover restrictions in 3GPP?,No,A representative case demonstrating performance gaps across modalities.
Q2,q2_1991,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",What process does the caption describe in the context of 3GPP networking?,No,A representative case demonstrating performance gaps across modalities.
Q2,q2_2522,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",What process does this diagram illustrate in the context of 3GPP standards?,No,A representative case demonstrating performance gaps across modalities.
Q2,q2_2799,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",What is the architecture diagram for a 3GPP network?,No,A representative case demonstrating performance gaps across modalities.
Q2,q2_2800,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",What is the network architecture diagram for a 3GPP LTE system?,No,A representative case demonstrating performance gaps across modalities.
Q2,q2_3090,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",What message flow does this diagram illustrate in the 5G architecture?,No,A representative case demonstrating performance gaps across modalities.
Q2,q2_3382,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",What process does this diagram illustrate in the context of 3GPP standards?,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_146,OCR,10,17,53,13,11,-1,10,-1,-1,Ambiguous/Generic,"{'BM25': 17, 'BGE': 53, 'M7': 13, 'CLIP': 11, 'ColPali': -1, 'OCR': 10, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_265,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Pre-conditions:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_312,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Following pre-conditions are assumed:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_445,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Figure 6.1.2.2-1 provides the message flow for the solution.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_449,BGE,99,-1,99,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': 99, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",Figure 6.5.2-1 shows the detailed procedure.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_645,BM25,3,3,20,4,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': 3, 'BGE': 20, 'M7': 4, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",The call flow is shown in Figure 5.2.6.1-1.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_895,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This scenario is shown in Figure 8.4.5.1-1.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_936,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",The NF Service Consumer (e.g.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_937,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",The NF Service Consumer (e.g.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_942,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",5.2.2.2.3.1 General,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_946,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",The NF Service Consumer (e.g.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_984,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This procedure depicted in Figure 5.5.3.2-1 is used by a data consumer (e.g.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_993,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This procedure is used by the NWDAF service consumer (may be an NF e.g.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_997,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This procedure is used by the NWDAF service consumer e.g.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_998,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This procedure is used by the NWDAF service consumer (may be an NF e.g.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1051,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}","This procedure concerns only non-roaming scenarios, i.e.",No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1052,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}","This procedure concerns only non-roaming scenarios, i.e.",No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1068,BM25,70,70,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': 70, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",In this scenario:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1069,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",In this scenario:,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1236,BM25,38,38,-1,70,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': 38, 'BGE': -1, 'M7': 70, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This clause depicts the set of classes (e.g.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1237,ColPali,85,-1,-1,-1,-1,85,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': 85, 'OCR': -1, 'E0': -1, 'E1': -1}",This clause depicts the set of classes (e.g.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1238,E0,28,-1,-1,-1,-1,-1,-1,28,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': 28, 'E1': -1}",This clause depicts the set of classes (e.g.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1239,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",This clause depicts the set of classes (e.g.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1429,BM25,34,34,-1,53,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': 34, 'BGE': -1, 'M7': 53, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",The UE test loop function provides access to isolated functions of the UE via the radio interface without introducing wherever possible new physical interfaces just for the reason of conformance testing.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1510,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",NOTE: Service specific information is not shown in the messages.,No,A representative case demonstrating performance gaps across modalities.
Q3,q3_1511,None,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ambiguous/Generic,"{'BM25': -1, 'BGE': -1, 'M7': -1, 'CLIP': -1, 'ColPali': -1, 'OCR': -1, 'E0': -1, 'E1': -1}",NOTE: Service specific information is not shown in the messages.,No,A representative case demonstrating performance gaps across modalities.
