duplicate_group_id,row_ids,group_size,assigned_split,leakage_detected,image_paths_exist,notes
singleton_806,[806],1,Val,False,True,All paths resolved
dup_group_228,"[2907, 3243]",2,Train,False,True,All paths resolved
singleton_2142,[2142],1,Train,False,True,All paths resolved
singleton_1542,[1542],1,Train,False,True,All paths resolved
dup_group_224,"[2898, 3235]",2,Train,False,True,All paths resolved
singleton_111,[111],1,Train,False,True,All paths resolved
singleton_66,[66],1,Train,False,True,All paths resolved
dup_group_126,"[1803, 3142]",2,Train,False,True,All paths resolved
singleton_1445,[1445],1,Train,False,True,All paths resolved
singleton_876,[876],1,Train,False,True,All paths resolved
singleton_2349,[2349],1,Train,False,True,All paths resolved
singleton_3719,[3719],1,Train,False,True,All paths resolved
singleton_629,[629],1,Test,False,True,All paths resolved
singleton_2535,[2535],1,Train,False,True,All paths resolved
singleton_3581,[3581],1,Test,False,True,All paths resolved
singleton_3713,[3713],1,Train,False,True,All paths resolved
singleton_1845,[1845],1,Test,False,True,All paths resolved
singleton_435,[435],1,Val,False,True,All paths resolved
singleton_700,[700],1,Train,False,True,All paths resolved
singleton_2273,[2273],1,Train,False,True,All paths resolved
singleton_3484,[3484],1,Test,False,True,All paths resolved
singleton_346,[346],1,Train,False,True,All paths resolved
singleton_258,[258],1,Test,False,True,All paths resolved
singleton_932,[932],1,Train,False,True,All paths resolved
singleton_2800,[2800],1,Train,False,True,All paths resolved
singleton_1048,[1048],1,Test,False,True,All paths resolved
singleton_3706,[3706],1,Train,False,True,All paths resolved
singleton_814,[814],1,Val,False,True,All paths resolved
singleton_63,[63],1,Train,False,True,All paths resolved
singleton_828,[828],1,Train,False,True,All paths resolved
singleton_713,[713],1,Train,False,True,All paths resolved
singleton_744,[744],1,Train,False,True,All paths resolved
singleton_634,[634],1,Val,False,True,All paths resolved
singleton_869,[869],1,Train,False,True,All paths resolved
singleton_2467,[2467],1,Train,False,True,All paths resolved
singleton_2957,[2957],1,Train,False,True,All paths resolved
singleton_2365,[2365],1,Train,False,True,All paths resolved
singleton_3029,[3029],1,Test,False,True,All paths resolved
singleton_576,[576],1,Train,False,True,All paths resolved
singleton_2562,[2562],1,Val,False,True,All paths resolved
singleton_359,[359],1,Train,False,True,All paths resolved
singleton_455,[455],1,Test,False,True,All paths resolved
singleton_2176,[2176],1,Train,False,True,All paths resolved
dup_group_57,"[1719, 2619]",2,Test,False,True,All paths resolved
singleton_2090,[2090],1,Test,False,True,All paths resolved
singleton_2233,[2233],1,Train,False,True,All paths resolved
singleton_2726,[2726],1,Train,False,True,All paths resolved
singleton_3506,[3506],1,Train,False,True,All paths resolved
singleton_2279,[2279],1,Test,False,True,All paths resolved
singleton_1589,[1589],1,Test,False,True,All paths resolved
singleton_10,[10],1,Test,False,True,All paths resolved
singleton_2902,[2902],1,Train,False,True,All paths resolved
singleton_3169,[3169],1,Train,False,True,All paths resolved
singleton_218,[218],1,Train,False,True,All paths resolved
singleton_558,[558],1,Test,False,True,All paths resolved
singleton_2065,[2065],1,Train,False,True,All paths resolved
singleton_516,[516],1,Val,False,True,All paths resolved
singleton_3177,[3177],1,Test,False,True,All paths resolved
singleton_2939,[2939],1,Train,False,True,All paths resolved
dup_group_133,"[1810, 3149]",2,Test,False,True,All paths resolved
singleton_265,[265],1,Train,False,True,All paths resolved
singleton_3619,[3619],1,Train,False,True,All paths resolved
singleton_3569,[3569],1,Test,False,True,All paths resolved
singleton_1333,[1333],1,Train,False,True,All paths resolved
singleton_2058,[2058],1,Train,False,True,All paths resolved
singleton_3237,[3237],1,Train,False,True,All paths resolved
singleton_1203,[1203],1,Train,False,True,All paths resolved
singleton_291,[291],1,Train,False,True,All paths resolved
singleton_2080,[2080],1,Train,False,True,All paths resolved
singleton_503,[503],1,Train,False,True,All paths resolved
singleton_545,[545],1,Train,False,True,All paths resolved
singleton_3720,[3720],1,Train,False,True,All paths resolved
singleton_3670,[3670],1,Test,False,True,All paths resolved
singleton_391,[391],1,Train,False,True,All paths resolved
singleton_1642,[1642],1,Train,False,True,All paths resolved
singleton_2175,[2175],1,Test,False,True,All paths resolved
singleton_1058,[1058],1,Train,False,True,All paths resolved
dup_group_53,"[1715, 2615]",2,Train,False,True,All paths resolved
singleton_1360,[1360],1,Test,False,True,All paths resolved
dup_group_29,"[962, 968]",2,Train,False,True,All paths resolved
singleton_2110,[2110],1,Train,False,True,All paths resolved
singleton_57,[57],1,Train,False,True,All paths resolved
singleton_297,[297],1,Train,False,True,All paths resolved
singleton_207,[207],1,Train,False,True,All paths resolved
singleton_2459,[2459],1,Test,False,True,All paths resolved
singleton_3595,[3595],1,Val,False,True,All paths resolved
singleton_3725,[3725],1,Train,False,True,All paths resolved
singleton_3629,[3629],1,Val,False,True,All paths resolved
singleton_1985,[1985],1,Train,False,True,All paths resolved
singleton_979,[979],1,Train,False,True,All paths resolved
singleton_3229,[3229],1,Train,False,True,All paths resolved
singleton_1309,[1309],1,Test,False,True,All paths resolved
singleton_1702,[1702],1,Train,False,True,All paths resolved
singleton_722,[722],1,Train,False,True,All paths resolved
singleton_1537,[1537],1,Train,False,True,All paths resolved
singleton_3152,[3152],1,Train,False,True,All paths resolved
singleton_2097,[2097],1,Train,False,True,All paths resolved
singleton_1393,[1393],1,Train,False,True,All paths resolved
singleton_1841,[1841],1,Test,False,True,All paths resolved
singleton_873,[873],1,Val,False,True,All paths resolved
singleton_1875,[1875],1,Train,False,True,All paths resolved
singleton_2752,[2752],1,Val,False,True,All paths resolved
singleton_1109,[1109],1,Test,False,True,All paths resolved
singleton_1544,[1544],1,Train,False,True,All paths resolved
singleton_1231,[1231],1,Train,False,True,All paths resolved
dup_group_195,"[2428, 3343]",2,Train,False,True,All paths resolved
singleton_865,[865],1,Train,False,True,All paths resolved
singleton_152,[152],1,Train,False,True,All paths resolved
