query_set,query_idx,ground_truth_row,rank,top_1_pred
Q1,0,0,12,1016
Q1,1,1,-1,677
Q1,2,2,-1,150
Q1,3,3,-1,1274
Q1,4,4,-1,9
Q1,5,5,-1,1758
Q1,6,6,7,9
Q1,7,7,89,9
Q1,8,8,59,69
Q1,9,9,1,9
Q1,10,10,-1,3447
Q1,11,11,-1,9
Q1,12,12,-1,9
Q1,13,13,15,9
Q1,14,14,2,9
Q1,15,15,8,9
Q1,16,16,-1,30
Q1,17,17,-1,1166
Q1,18,18,28,35
Q1,19,19,100,35
Q1,20,20,4,35
Q1,21,21,17,35
Q1,22,22,10,9
Q1,23,23,79,9
Q1,24,24,12,20
Q1,25,25,-1,3535
Q1,26,26,61,1359
Q1,27,27,-1,35
Q1,28,28,-1,35
Q1,29,29,-1,35
Q1,30,30,3,35
Q1,31,31,5,35
Q1,32,32,21,9
Q1,33,33,25,9
Q1,34,34,6,9
Q1,35,35,7,9
Q1,36,36,52,3623
Q1,37,37,-1,2308
Q1,38,38,-1,3623
Q1,39,39,95,3636
Q1,40,40,-1,3677
Q1,41,41,-1,1403
Q1,42,42,-1,3099
Q1,43,43,-1,3064
Q1,44,44,-1,2894
Q1,45,45,4,218
Q1,46,46,4,86
Q1,47,47,3,86
Q1,48,48,39,86
Q1,49,49,3,51
Q1,50,50,95,51
Q1,51,51,1,51
Q1,52,52,-1,2677
Q1,53,53,-1,2893
Q1,54,54,-1,2893
Q1,55,55,44,97
Q1,56,56,-1,97
Q1,57,57,-1,355
Q1,58,58,-1,1175
Q1,59,59,-1,1175
Q1,60,60,-1,3095
Q1,61,61,2,3532
Q1,62,62,-1,2674
Q1,63,63,-1,2674
Q1,64,64,-1,2674
Q1,65,65,-1,490
Q1,66,66,-1,1728
Q1,67,67,-1,1728
Q1,68,68,-1,1404
Q1,69,69,1,69
Q1,70,70,2,69
Q1,71,71,81,839
Q1,72,72,3,3223
Q1,73,73,-1,74
Q1,74,74,-1,2807
Q1,75,75,5,495
Q1,76,76,1,76
Q1,77,77,5,81
Q1,78,78,-1,2207
Q1,79,79,76,141
Q1,80,80,-1,3168
Q1,81,81,4,51
Q1,82,82,1,82
Q1,83,83,-1,82
Q1,84,84,-1,3243
Q1,85,85,42,82
Q1,86,86,2,82
Q1,87,87,4,82
Q1,88,88,17,82
Q1,89,89,-1,3414
Q1,90,90,-1,2203
Q1,91,91,-1,1664
Q1,92,92,-1,2155
Q1,93,93,-1,1629
Q1,94,94,-1,2155
Q1,95,95,34,3533
Q1,96,96,97,2155
Q1,97,97,-1,2155
Q1,98,98,-1,2741
Q1,99,99,-1,2741
Q1,100,100,8,1629
Q1,101,101,-1,1411
Q1,102,102,-1,1411
Q1,103,103,-1,106
Q1,104,104,-1,1184
Q1,105,105,-1,737
Q1,106,106,-1,753
Q1,107,107,18,2904
Q1,108,108,-1,2904
Q1,109,109,-1,1738
Q1,110,110,-1,688
Q1,111,111,16,800
Q1,112,112,-1,1184
Q1,113,113,-1,823
Q1,114,114,67,615
Q1,115,115,14,615
Q1,116,116,-1,2391
Q1,117,117,-1,889
Q1,118,118,-1,889
Q1,119,119,-1,889
Q1,120,120,-1,2589
Q1,121,121,-1,259
Q1,122,122,-1,2740
Q1,123,123,-1,3431
Q1,124,124,-1,159
Q1,125,125,-1,2236
Q1,126,126,-1,2236
Q1,127,127,-1,132
Q1,128,128,94,1275
Q1,129,129,96,1275
Q1,130,130,-1,3078
Q1,131,131,-1,2236
Q1,132,132,8,3286
Q1,133,133,-1,150
Q1,134,134,-1,3106
Q1,135,135,-1,444
Q1,136,136,-1,495
Q1,137,137,-1,495
Q1,138,138,-1,3006
