case_id,category,query_set,query_id,query_text,ground_truth_row,ground_truth_caption,systems_shown,rank_evidence_summary,contact_sheet_path,thesis_lesson,inclusion_confidence,notes
q1_310,A. Easy Success,Q1,q1_310,Initial access with key derivation,310,Initial access with key derivation,"BM25, BGE, M7",Visualised in contact sheet.,reports/m9_gallery_images/q1_310_A.png,Clean caption metadata provides strong retrieval signal.,High,
q3_2829,A. Easy Success,Q3,q3_2829,Figure 6.9.2.1-1: MBS session initiation procedure (broadcast service),2829,MBS session initiation procedure (broadcast service),"BM25, BGE, M7",Visualised in contact sheet.,reports/m9_gallery_images/q3_2829_A.png,Clean caption metadata provides strong retrieval signal.,High,
q3_2676,A. Easy Success,Q3,q3_2676,Figure 8.4.3-1 illustrates the procedure for unpublishing the service APIs.,2676,Unpublish service APIs,"BM25, BGE, M7",Visualised in contact sheet.,reports/m9_gallery_images/q3_2676_A.png,Clean caption metadata provides strong retrieval signal.,High,
q3_3198,B. M7 Helps,Q3,q3_3198,This clause defines interactions between the CP and UP function during the following procedures related to the modification of a PDN connection.,3198,"Interaction between CP and UP function with PDN connection modification, Group","BM25, BGE, M7",Visualised in contact sheet.,reports/m9_gallery_images/q3_3198_B.png,Lexical and semantic signals complement each other.,High,
q2_2622,B. M7 Helps,Q2,q2_2622,What is the sequence of events for a MCVideo private call in manual commencement mode?,2622,MCVideo private call in manual commencement mode– MCVideo users in the,"BM25, BGE, M7",Visualised in contact sheet.,reports/m9_gallery_images/q2_2622_B.png,Lexical and semantic signals complement each other.,High,
q2_3534,B. M7 Helps,Q2,q2_3534,What is the user plane protocol stack for L2 UE-to-Network Relay?,3534,User plane protocol stack for L2 UE-to-Network Relay,"BM25, BGE, M7",Visualised in contact sheet.,reports/m9_gallery_images/q2_3534_B.png,Lexical and semantic signals complement each other.,High,
q3_631,C. BM25 Beats Dense,Q3,q3_631,Inter-Lab/Inter-Technique (IL/IT) campaigns have been performed in CTIA MOSG LTE MIMO OTA by the Anechoic Chamber test methodology.,631,Average radiated throughput comparison under SCMe UMi OTA,"BM25, BGE, M7",Visualised in contact sheet.,reports/m9_gallery_images/q3_631_C.png,Dense models lose critical acronym/keyword sensitivity.,High,
q3_2132,C. BM25 Beats Dense,Q3,q3_2132,The figure below illustrates the flows proposal above.,2132,Registration/TAU request trigger upon PO collision risk detection,"BM25, BGE, M7",Visualised in contact sheet.,reports/m9_gallery_images/q3_2132_C.png,Dense models lose critical acronym/keyword sensitivity.,High,
q3_1600,D. Dense Beats BM25,Q3,q3_1600,Figure 6.4.2.1-1: 5GC UAV Authentication and Authorization,1600,5GC UAV Authentication and Authorization,"BM25, BGE, M7",Visualised in contact sheet.,reports/m9_gallery_images/q3_1600_D.png,Embeddings bridge vocabulary mismatches.,High,
q3_983,D. Dense Beats BM25,Q3,q3_983,The procedure depicted in Figure 5.5.3.1-1 is used by a data consumer (e.g.,983,Data Collection via DCCF,"BM25, BGE, M7",Visualised in contact sheet.,reports/m9_gallery_images/q3_983_D.png,Embeddings bridge vocabulary mismatches.,High,
q1_2270,F. Visual Failure,Q1,q1_2270,DNS to resolve EAS address,2270,DNS to resolve EAS address,"M7, CLIP, ColPali",Visualised in contact sheet.,reports/m9_gallery_images/q1_2270_F.png,Zero-shot visual domain gap is substantial for diagrams.,High,
q2_618,F. Visual Failure,Q2,q2_618,What is the process for spatial correlation measurements in the radiated two-stage method?,618,Spatial correlation measurements for the radiated two-stage method using correlation,"M7, CLIP, ColPali",Visualised in contact sheet.,reports/m9_gallery_images/q2_618_F.png,Zero-shot visual domain gap is substantial for diagrams.,High,
q2_2905,G. OCR Failure,Q2,q2_2905,What process does the MC service use to obtain configuration data from the UE?,2905,MC service UE obtains the configuration data,"BM25, M7, OCR",Visualised in contact sheet.,reports/m9_gallery_images/q2_2905_G.png,Raw diagram text is often noisy.,High,
q2_2885,G. OCR Failure,Q2,q2_2885,What is an example of an end-to-end scenario in 3GPP architecture?,2885,Example of an end-to-end scenario,"BM25, M7, OCR",Visualised in contact sheet.,reports/m9_gallery_images/q2_2885_G.png,Raw diagram text is often noisy.,High,
q2_75,H. Final Failure,Q2,q2_75,What does this 3GPP diagram illustrate?,75,Illustration of a CABG Procedure,"BM25, BGE, M7, CLIP, ColPali",Visualised in contact sheet.,reports/m9_gallery_images/q2_75_H.png,Query-context mismatch or extreme ambiguity.,High,
q2_2800,H. Final Failure,Q2,q2_2800,What is the network architecture diagram for a 3GPP LTE system?,2800,Architecture,"BM25, BGE, M7, CLIP, ColPali",Visualised in contact sheet.,reports/m9_gallery_images/q2_2800_H.png,Query-context mismatch or extreme ambiguity.,High,
q3_1239,H. Final Failure,Q3,q3_1239,This clause depicts the set of classes (e.g.,1239,NRM fragment for CES Management,"BM25, BGE, M7, CLIP, ColPali",Visualised in contact sheet.,reports/m9_gallery_images/q3_1239_H.png,Query-context mismatch or extreme ambiguity.,High,
q1_17,I. M9A Visual Adaptation Success,Q1,q1_17,Iuh–Interface Protocol Stack.,17,Iuh–Interface Protocol Stack.,"E0, E1",Visualised in contact sheet.,reports/m9_gallery_images/q1_17_I.png,Telecom-specific visual alignment shows higher retrieval metrics than zero-shot visual retrieval on the duplicate-safe held-out split.,High,
q1_27,I. M9A Visual Adaptation Success,Q1,q1_27,Establishment of signalling connection over Iurh and Iur connections between,27,Establishment of signalling connection over Iurh and Iur connections between,"E0, E1",Visualised in contact sheet.,reports/m9_gallery_images/q1_27_I.png,Telecom-specific visual alignment shows higher retrieval metrics than zero-shot visual retrieval on the duplicate-safe held-out split.,High,
